
Shaped, 有序
Shaped Crafting, 有序合成
Shaped Recipe, 有序配方
Shapeless, 无序
Shapeless Crafting, 无序合成
Shapeless Recipe, 无序配方
Recipe, 配方
Crafting, 合成
Smelt, 烧炼, 概括
Smelt, 冶炼, 矿物
Smelt, 烧制, 普通
Smelt, 烹饪, 食物
Brewing, 酿造
Ore Dictionary, 矿物词典
OreDict, 矿物词典
Command, 指令
Client, 客户端
Server, 服务端，服务器
Main Hand, 主手
Off Hand, 副手

## 类别名称 & 通用名称

Block, 方块
Item, 物品
Tools, 工具
GUI, GUI
Gui, GUI
Creative Tab, 创造标签页
Mob, 生物
Monster, 怪物
Entity, 实体
Machine, 机器
Solid, 固体
Liquid, 液体
Gas, 气体
Fluid, 流体
Equipment, 装备
Spawn, 生成
Overworld, 主世界
Dimension, 维度
Biome, 生物群系
Chunk, 区块
Void, 虚空
Inventory, 物品栏, 玩家、生物
Inventory, 物品缓存, 机器
Potion, 药水
Effect, 效果
Enchantment, 魔咒, 名词
Enchantment, 附魔, Enchant的名词
Enchantability, 可附魔性
Level, 等级
Fuel, 燃料
Item Damage, 物品损害值
Current, 电流
Voltage, 电压
Bookmark, 书签
Slot, 格子
Grid, 网格
Setting, 设置
Option, 选项
Configuration, 配置
Mode, 模式
Input, 输入，原料
Output, 输出，产物
Redstone Signal, 红石信号
Energy, 电量, IC系，电
Energy, 能量
Tick, 刻, 名词
Stack, 组, 量词
Stack, 堆叠, 动词
Blockstate, 方块状态
TileEntity, 方块实体值
Block Entity, 方块实体值
TileEntity, 方块实体值
Tooltip, 提示文本
Forge Energy, FE能量, 任何指代 `net.minecraftforge.energy` 的名称，没有空格，用作单位时，使用对应缩写，即 FE/FU/FP ；但仍然推荐使用 `FE`
Forge Unit, FE能量, 任何指代 `net.minecraftforge.energy` 的名称，没有空格，用作单位时，使用对应缩写，即 FE/FU/FP ；但仍然推荐使用 `FE`
Forge Power, FE能量, 任何指代 `net.minecraftforge.energy` 的名称，没有空格，用作单位时，使用对应缩写，即 FE/FU/FP ；但仍然推荐使用 `FE`


## 动词相关

Add, 添加
Delete, 删除
Remove, 移除
Click, 点击
Right Click, 右击
Activate, 激活
Active, 激活
Deactivate, 禁用
Inactive, 禁用
Enable, 启用, 选项
Disable, 禁用, 选项
Enable, 开启, 其它
Disable, 关闭, 其它
Toggle, 切换，激活
Allow, 允许
True, 是
False, 否
Always, 总是
Only, 仅
Back, 返回
Return, 返回
Pick Up, 拾取
Configure, 配置
Wear, 戴, 头盔、帽子
Wear, 穿, 其它装备
Done, 完成
Preset, 预设

## 颜色
### 通顺情况下请保留“色”。比如说“黑色羊毛”。

Black, 黑色
Red, 红色
Green, 绿色
Brown, 棕色
Blue, 蓝色
Purple, 紫色
Cyan, 青色
Light Gray, 淡灰色
Gray, 灰色
Pink, 粉红色
Lime, 黄绿色
Yellow, 黄色
Light Blue, 淡蓝色
Magenta, 品红色
Orange, 橙色
White, 白色

## 物品/方块

Lava, 熔岩, 在1.10中译名已经改为“熔岩”而不是“岩浆”
Steam, 蒸汽
Ender, 末影
Portable, 便携
Sapling, 树苗
Rubber Tree Sapling, 橡胶树苗
Leaf，Leaves, 树叶
Rubber Tree Leaves, 橡胶树叶
Wood, 木
Oak Wood, 橡木
Wood Planks, 木板
Oak Wood Planks, 橡木木板
Slab, 台阶
Stone Slab, 石台阶
Stairs, 楼梯
Nether Brick Stairs, 地狱砖楼梯
Door, 门
Oak Door, 橡木门
Boat, 船
Oak Boat, 橡木船
Fence, 栅栏
Oak Fence, 橡木栅栏
Fence Gate, 栅栏门
Oak Fence Gate, 橡木栅栏门
Brick, 砖非原物品，砖块
Nether Brick, 地狱砖块
Nether Brick Stairs, 地狱砖楼梯
Smooth, 平滑
Smooth Sandstone, 平滑砂岩
Chiseled, 錾制
Chiseled Sandstone, 錾制砂岩
Carved, 雕纹
Block, 块
Copper Block, 铜块
Block of Copper, 铜块
Ingot, 锭
Copper Ingot, 铜锭
Ore, 矿石
Copper Ore, 铜矿石
Crushed, 粉碎
